Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Total rejections,Approval rate,Fluent languages,Age,Sex,Ethnicity,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
629c51a85aaa5898aff3ad6b,61533c6fe6a5c601b92c8255,APPROVED,2022-06-05T06:48:13.804000Z,2022-06-05T07:13:20.963000Z,2022-06-08T03:13:01.097000Z,,1508,8F964E17,49,2,96,Italian,22,Female,White,Italy,Italy,Italy,Italian,Yes,Part-Time
629c51aaa588dbbc11d09dc2,606aad87b9f57a82dd447d6a,APPROVED,2022-06-05T06:51:49.841000Z,2022-06-05T07:19:39.900000Z,2022-06-08T03:13:00.918000Z,,1671,8F964E17,308,0,100,English,36,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
629c51b733f83b5dbddc8598,603953e7302d0728f1519ad7,APPROVED,2022-06-05T06:49:41.129000Z,2022-06-05T07:29:21.206000Z,2022-06-08T03:13:01.489000Z,,2381,8F964E17,65,0,100,English,26,Female,White,Poland,Poland,Poland,Polish,Yes,Full-Time
629c51b9225e8546d28e24f9,609949e684aaf8787044e7ce,APPROVED,2022-06-05T06:48:25.297000Z,2022-06-05T07:14:34.092000Z,2022-06-08T03:13:01.001000Z,,1569,8F964E17,32,1,100,Polish,20,Male,White,Poland,Poland,Poland,Polish,Yes,Unemployed (and job seeking)
629c51bb5aaa5898aff3ad6d,5f38c9aa0c68ee3f7c72f7b4,TIMED-OUT,2022-06-05T06:48:27.985000Z,,,,4325967,,298,1,100,Spanish,25,Male,Other,Mexico,Mexico,Mexico,Spanish,Yes,Unemployed (and job seeking)
629c51d3c1d8502456d3cc3e,614f7d1a2eef4c845cbc7845,APPROVED,2022-06-05T06:48:51.018000Z,2022-06-05T07:13:56.250000Z,2022-06-08T03:13:00.659000Z,,1506,8F964E17,78,0,100,English,23,Male,White,Mexico,Mexico,Mexico,Spanish,No,Unemployed (and job seeking)
629c51d4a588dbbc11d09dc4,61084a60622c3e2c8f30d629,APPROVED,2022-06-05T06:48:52.070000Z,2022-06-05T07:11:41.409000Z,2022-06-08T03:13:00.269000Z,,1370,8F964E17,89,0,100,Albanian,19,Male,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,Due to start a new job within the next month
629c51d4aaa8d2d26b4b2abb,5c74d6a50b33c80001323744,APPROVED,2022-06-05T06:49:27.515000Z,2022-06-05T07:15:33.194000Z,2022-06-08T03:13:00.357000Z,,1566,8F964E17,614,2,100,English,52,Male,White,United Kingdom,Spain,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
629c51df14f378d4999ad6e7,60fef59b4d85390bc0357a7d,APPROVED,2022-06-05T06:49:03.440000Z,2022-06-05T08:02:58.784000Z,2022-06-08T03:13:02.252000Z,,4436,8F964E17,91,2,99,English,22,Female,White,Poland,Poland,Poland,Polish,Yes,Unemployed (and job seeking)
629c51e749cc785b9ff6fcf6,5ea95e9500721703bfe1f46b,RETURNED,2022-06-05T06:49:11.675000Z,,,,,,109,3,98,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
