session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
62bbf90de1b67965ba07d588,60d5f605483d5fe184fcaad8,AWAITING REVIEW,2022-06-29 07:02:37.161000,2022-06-29 08:03:53.946000,3676.785,21,121,0,100,,8F964E17,Poland,Poland,Part-Time,Polish,"English, Polish",Poland,Male,Yes
62bbf911c98e8f8b36cc9747,5e820827a0271f9119616fb8,AWAITING REVIEW,2022-06-29 07:07:19.871000,2022-06-29 07:40:13.584000,1973.713,30,299,4,98,,8F964E17,Italy,Italy,Full-Time,French,"Italian, Portuguese, French, Spanish, English",Italy,Female,No
62bbf9180da4199b4b2f00da,614072e717f769e6280307d3,AWAITING REVIEW,2022-06-29 07:03:02.378000,2022-06-29 07:53:02.463000,3000.085,32,207,1,100,,8F964E17,Nigeria,South Africa,Full-Time,DATA EXPIRED,English,Nigeria,Male,Yes
62bbf921c31ea8925dd3e40f,611d1134bcc4eda812acf219,AWAITING REVIEW,2022-06-29 07:02:57.614000,2022-06-29 07:45:56.802000,2579.188,35,133,2,100,,8F964E17,Zimbabwe,South Africa,Full-Time,DATA EXPIRED,English,Zimbabwe,Male,Yes
62bbf922b17330df12859376,5ea8bea5a6081b141edb65ba,AWAITING REVIEW,2022-06-29 07:03:03.907000,2022-06-29 07:33:08.180000,1804.273,26,105,1,100,,8F964E17,Mexico,Mexico,Part-Time,Spanish,"Spanish, English",Mexico,Female,Yes
62bbf9256af1217c35101e09,616323b9520ffc74cfc92c4e,AWAITING REVIEW,2022-06-29 07:03:01.434000,2022-06-29 07:57:57.251000,3295.817,26,114,1,100,,8F964E17,South Africa,South Africa,DATA EXPIRED,DATA EXPIRED,English,South Africa,Male,DATA EXPIRED
62bbf928b31a1339db62ec98,589cc7bd8bf22a00015b7b30,AWAITING REVIEW,2022-06-29 07:03:15.563000,2022-06-29 07:26:43.971000,1408.408,30,443,2,100,,8F964E17,Mexico,Mexico,Full-Time,Spanish,"English, Spanish",Mexico,Male,No
62bbf9324557526fa8e9188e,605b0135815a24382dfabf98,AWAITING REVIEW,2022-06-29 07:03:14.500000,2022-06-29 07:24:37.116000,1282.616,20,135,0,100,,8F964E17,Poland,Poland,Full-Time,Polish,"English, Polish",Poland,Female,Yes
62bbf9336fac4b3189764b19,616de7dd58e50154fe8baf24,AWAITING REVIEW,2022-06-29 07:03:15.421000,2022-06-29 07:28:18.967000,1503.546,19,79,0,100,,8F964E17,Mexico,Mexico,Unemployed (and job seeking),Spanish,"English, Spanish",Mexico,Male,Yes
62bbf9346784fdd73bcd20e2,6142589393c9f8b38086f20f,AWAITING REVIEW,2022-06-29 07:05:19.123000,2022-06-29 07:40:07.180000,2088.057,23,72,1,100,,8F964E17,South Africa,South Africa,Full-Time,DATA EXPIRED,English,South Africa,Female,No
62bbf937e12f15910a05e3f4,60d336457da539b0a93cb7d3,AWAITING REVIEW,2022-06-29 07:03:26.434000,2022-06-29 07:35:23.527000,1917.093,32,110,3,99,,8F964E17,South Africa,South Africa,Part-Time,Afrikaans,"Afrikaans, English",South Africa,Male,Yes
62bbf9391ce067b5633dbc50,6102a52c8a4ed0d104d68a15,AWAITING REVIEW,2022-06-29 07:03:21.761000,2022-06-29 07:40:06.880000,2205.119,32,159,3,99,,8F964E17,South Africa,South Africa,Full-Time,DATA EXPIRED,"English, Afrikaans",South Africa,Female,No
62bbf940f649107dbe48ed39,617028061465253b03b9aabb,AWAITING REVIEW,2022-06-29 07:06:25.293000,2022-06-29 07:32:03.993000,1538.7,26,84,3,97,,8F964E17,South Africa,South Africa,Full-Time,DATA EXPIRED,English,South Africa,Female,No
62bbf9456784fdd73bcd20e4,60178e62ea15979cdfe8f978,RETURNED,2022-06-29 07:04:19.956000,,56640.998305,20,170,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62bbf945ba3914dfe682a25a,5d4aca46457d90001a0e9b38,AWAITING REVIEW,2022-06-29 07:03:39.932000,2022-06-29 07:29:59.852000,1579.92,40,172,0,100,,8F964E17,Poland,Poland,Full-Time,Polish,"English, Polish",Poland,Female,No
62bbf945d007ed79f0fa9496,617400ff07055d954515650f,AWAITING REVIEW,2022-06-29 07:03:40.481000,2022-06-29 07:27:09.080000,1408.599,26,95,1,100,,8F964E17,Kenya,Hungary,Unemployed (and job seeking),Swahili,"English, Swahili",Kenya,Male,Yes
62bbf946cb01f9784ec11ccf,6141c94201d385f32c5ad8f0,AWAITING REVIEW,2022-06-29 07:03:43.707000,2022-06-29 07:27:29.847000,1426.14,25,125,1,100,,8F964E17,South Africa,South Africa,Full-Time,DATA EXPIRED,"Afrikaans, English",South Africa,Female,No
62bbf94902033623e37e4b30,615c453806ba1a372800c832,AWAITING REVIEW,2022-06-29 07:03:55.067000,2022-06-29 07:29:29.211000,1534.144,32,121,3,99,,8F964E17,South Africa,South Africa,Unemployed (and job seeking),DATA EXPIRED,English,South Africa,Female,Yes
62bbf94a35194a3dfcdcb98f,61655c47cceb83c1cb0a51c8,AWAITING REVIEW,2022-06-29 07:03:55.378000,2022-06-29 07:25:54.744000,1319.366,42,185,0,100,,8F964E17,Portugal,Portugal,Full-Time,Portuguese,"English, German, Portuguese, Spanish",Portugal,Male,No
62bbf94a808bcc9effcd20f7,611e0a77ab20d761b4539e19,RETURNED,2022-06-29 07:03:40.768000,,56680.254318,32,165,3,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62bbf94ea39084a135abfcd3,5d45afeb62ed9000197adbb8,AWAITING REVIEW,2022-06-29 07:05:01.881000,2022-06-29 07:27:38.726000,1356.845,45,312,4,98,,8F964E17,Spain,Spain,Full-Time,Spanish,"English, Spanish",Spain,Male,No
62bbf953b5d4b4764f4fbeb5,607020e81248d88e0191c5eb,AWAITING REVIEW,2022-06-29 07:09:29.644000,2022-06-29 07:55:04.951000,2735.307,23,55,1,100,,8F964E17,Zimbabwe,South Africa,Unemployed (and job seeking),English,"Afrikaans, English",Zimbabwe,Male,Yes
62bbf953bb9736d56fd3e424,615b38fbee37c31346d21b1c,AWAITING REVIEW,2022-06-29 07:07:23.534000,2022-06-29 08:32:17.519000,5093.985,29,99,1,100,,8F964E17,South Africa,South Africa,Full-Time,DATA EXPIRED,"Afrikaans, English",South Africa,Female,No
62bbf95552e56dc028e91892,5f06adcc64da4e018096b019,RETURNED,2022-06-29 07:03:49.810000,,56671.258608,20,107,2,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62bbf956aa1c185c3344d4c1,6169118652b41396875833ee,RETURNED,2022-06-29 07:14:00.061000,,56061.018759,22,11,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62bbf9570da4199b4b2f00dd,60fa7068e1182afdd300851c,AWAITING REVIEW,2022-06-29 07:04:05.966000,2022-06-29 07:36:18.485000,1932.519,28,53,1,100,,8F964E17,South Africa,South Africa,Full-Time,DATA EXPIRED,English,South Africa,Male,Yes
62bbf958c98e8f8b36cc974b,6158edc2606f1f7b2bad5ca5,AWAITING REVIEW,2022-06-29 07:03:52.636000,2022-06-29 07:31:11.135000,1638.499,20,61,0,100,,8F964E17,Mexico,Mexico,Unemployed (and job seeking),Spanish,"English, Spanish",Mexico,Male,Yes
62bbf95b745e2589691bad04,60dc4f781af62e2a6e638329,AWAITING REVIEW,2022-06-29 07:03:55.718000,2022-06-29 07:42:38.878000,2323.16,31,88,1,100,,8F964E17,South Africa,South Africa,Part-Time,DATA EXPIRED,English,South Africa,Male,No
62bbf95fd535a3dab3668cf8,615df4022ce7fddd8e00e31d,AWAITING REVIEW,2022-06-29 07:07:37.997000,2022-06-29 07:34:32.775000,1614.778,29,116,2,99,,8F964E17,South Africa,South Africa,Full-Time,DATA EXPIRED,English,South Africa,Female,No
62bbf96428cfa89a62e9e812,611fb1635c5f446a6bb2848d,RETURNED,2022-06-29 07:04:31.792000,,56629.345065,24,45,1,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62bbf964397937031b1d4496,61041810b20dd7b644737b8a,AWAITING REVIEW,2022-06-29 07:04:53.602000,2022-06-29 07:57:28.900000,3155.298,19,54,3,97,,8F964E17,South Africa,South Africa,Other,DATA EXPIRED,English,South Africa,Female,Yes
62bbf96d6f5790797999c19e,60df2618cedb346e436a28cf,AWAITING REVIEW,2022-06-29 07:04:21.169000,2022-06-29 07:32:17.914000,1676.745,30,115,4,96,,8F964E17,Zimbabwe,South Africa,Unemployed (and job seeking),DATA EXPIRED,English,Zimbabwe,Male,No
62bbf9706f52e7cb967379fe,61541943a163573208338fd8,AWAITING REVIEW,2022-06-29 07:04:16.272000,2022-06-29 07:25:19.925000,1263.653,36,146,0,100,,NOCODE,Hungary,Hungary,Full-Time,Hungarian,"English, Hungarian",Hungary,Male,No
62bbf970b31a1339db62ec9b,612b47fce0d4f1a36ff8a758,AWAITING REVIEW,2022-06-29 07:04:29.921000,2022-06-29 07:43:20.419000,2330.498,25,141,2,100,,8F964E17,South Africa,South Africa,DATA EXPIRED,DATA EXPIRED,English,South Africa,Female,Yes
62bbf971e2f920426a82a262,61561b5d9502ee82a057dcd2,AWAITING REVIEW,2022-06-29 07:04:17.798000,2022-06-29 07:39:31.531000,2113.733,52,75,1,100,,8F964E17,South Africa,South Africa,Unemployed (and job seeking),DATA EXPIRED,English,South Africa,Female,No
62bbf973c8656b5829d45d38,5b4b8f509c7a6000017ae54f,AWAITING REVIEW,2022-06-29 07:04:19.591000,2022-06-29 07:24:57.375000,1237.784,26,383,1,100,,8F964E17,Spain,Spain,Full-Time,Spanish,"Spanish, Basque, English",Spain,Female,No
62bbf9776c59007e94859392,614e1c414dff2e589169f360,AWAITING REVIEW,2022-06-29 07:04:32.239000,2022-06-29 07:45:15.146000,2442.907,28,86,0,100,,NOCODE,South Africa,South Africa,Full-Time,DATA EXPIRED,English,South Africa,Female,No
62bbf97b6e6855b2c6033584,612cba83e943b9b708c10006,AWAITING REVIEW,2022-06-29 07:06:27.067000,2022-06-29 07:55:23.064000,2935.997,21,65,1,100,,8F964E17,South Africa,South Africa,Due to start a new job within the next month,Afrikaans,English,South Africa,Female,No
62bbf9825568fd6f8607d57b,6152f41b531ca8bbd81a816e,RETURNED,2022-06-29 07:04:43.288000,,56617.96071,27,96,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62bbf983122e70c6a6764b24,613a9413ba611a0a66ee0504,AWAITING REVIEW,2022-06-29 07:04:39.368000,2022-06-29 07:38:57.521000,2058.153,22,94,1,100,,8F964E17,Mexico,Mexico,Unemployed (and job seeking),Spanish,"English, Spanish",Mexico,Male,Yes
62bbf988ef77b8322f668d17,5f980a192b5a61051e949f4b,AWAITING REVIEW,2022-06-29 07:04:40.545000,2022-06-29 07:39:06.852000,2066.307,35,198,7,96,,8F964E17,Poland,Poland,Full-Time,Polish,"Polish, English",Poland,Male,No
62bbf989ffe1009c36dcb9a3,6097ec1a8c0b4df21cbb9024,AWAITING REVIEW,2022-06-29 07:04:41.756000,2022-06-29 07:45:20.566000,2438.81,42,196,1,100,,8F964E17,South Africa,South Africa,Full-Time,English,"Afrikaans, English",South Africa,Male,No
62bbf98f8f2fb866d5fa947d,60e9c7d6324bb82ccb1357e4,AWAITING REVIEW,2022-06-29 07:04:52.096000,2022-06-29 07:34:17.632000,1765.536,23,54,0,100,,8F964E17,South Africa,South Africa,Unemployed (and job seeking),DATA EXPIRED,English,South Africa,Female,Yes
62bbf9951af325cedf48e938,5fc52c7f19135b10d7879657,AWAITING REVIEW,2022-06-29 07:05:12.468000,2022-06-29 07:28:43.623000,1411.155,32,157,0,100,,8F964E17,South Africa,South Africa,Full-Time,English,English,South Africa,Male,No
