session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
62c5384d34d8ca7f2ad01cdd,60b29948c3753b3707dffe90,AWAITING REVIEW,2022-07-06 07:22:56.721000,2022-07-06 07:49:36.960000,1600.239,34,90,1,100,,8F964E17,South Africa,South Africa,Full-Time,DATA EXPIRED,English,South Africa,Male,No
62c5385b1d4b666352f10f14,5e9f36a7e7a8f307cbd64a65,AWAITING REVIEW,2022-07-06 07:23:13.338000,2022-07-06 07:43:26.858000,1213.52,37,29,0,100,,8F964E17,United Kingdom,United Kingdom,DATA EXPIRED,English,English,United Kingdom,Male,No
62c5385b9a5d4f8d5af6d3ec,604d728ad647066e76840d8a,AWAITING REVIEW,2022-07-06 07:23:07.114000,2022-07-06 07:50:40.129000,1653.015,26,65,1,100,,8F964E17,Poland,Poland,Full-Time,Polish,"English, Polish",Poland,Male,No
62c538622c3cf42a78b91f1b,614a4c9d8172751921452626,AWAITING REVIEW,2022-07-06 07:23:14.969000,2022-07-06 07:52:41.856000,1766.887,22,94,2,99,,8F964E17,Mexico,Mexico,Unemployed (and job seeking),Spanish,"Spanish, English",Mexico,Female,Yes
62c53867d223a761de194376,61710ad6e031992acba7042a,AWAITING REVIEW,2022-07-06 07:23:26.344000,2022-07-06 08:55:02.559000,5496.215,35,33,0,100,,NOCODE,South Africa,South Africa,Part-Time,DATA EXPIRED,English,South Africa,Female,No
62c5387388ef00b1eab4879e,614edf1b57efb3bbc5edd55c,RETURNED,2022-07-06 07:23:46.380000,,67144.361837,30,70,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62c53877d6dd7e51736dafa2,60fabe7bd32b2ed831d38885,AWAITING REVIEW,2022-07-06 07:24:02.535000,2022-07-06 07:49:07.821000,1505.286,32,119,0,100,,8F964E17,South Africa,South Africa,Full-Time,Afrikaans,"Afrikaans, English",South Africa,Male,Yes
62c5387930da34237653c7e3,606b0c7e02dae1504090f77c,AWAITING REVIEW,2022-07-06 07:23:37.906000,2022-07-06 07:47:20.562000,1422.656,32,68,0,100,,8F964E17,Italy,Italy,Unemployed (and job seeking),Italian,"Italian, English, French",Italy,Female,Yes
62c5387c505ca495f1f3dbcf,61715532205e28ec88b6903c,AWAITING REVIEW,2022-07-06 07:23:40.161000,2022-07-06 07:52:01.915000,1701.754,19,55,2,98,,8F964E17,Slovenia,Slovenia,Other,Slovenian,"English, Slovenian",Slovenia,Female,Yes
62c5388a5d5d558173e36d59,610b3916acc5888d69f82835,RETURNED,2022-07-06 07:23:54.331000,,67136.457593,23,64,2,98,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62c5388ba8f50aeba52aaead,614a1b73d2eab38adf5bdd7e,AWAITING REVIEW,2022-07-06 07:23:55.733000,2022-07-06 07:52:16.770000,1701.037,20,96,0,100,,8F964E17,Mexico,Mexico,Unemployed (and job seeking),Spanish,"Spanish, English",Mexico,Male,Yes
62c5388dc05c36cbf9f6d3ff,5f573b18a6a8b51a94fdbd08,AWAITING REVIEW,2022-07-06 07:23:57.795000,2022-07-06 08:29:05.406000,3907.611,33,315,2,100,,8F964E17,Mexico,Mexico,Full-Time,Spanish,"English, Spanish",Mexico,Male,No
62c53891d6dd7e51736dafa5,60ccf2ea70e16324c450f531,AWAITING REVIEW,2022-07-06 07:24:01.544000,2022-07-06 08:05:03.435000,2461.891,33,129,1,100,,8F964E17,Zimbabwe,South Africa,Full-Time,DATA EXPIRED,English,Zimbabwe,Female,DATA EXPIRED
62c53892676c34b35019437d,610778fe744943d12ecab3cc,AWAITING REVIEW,2022-07-06 07:24:17.146000,2022-07-06 07:58:16.816000,2039.67,27,51,1,100,,8F964E17,Ghana,South Africa,Full-Time,Twi,English,South Africa,Male,No
